test_question,test_span,train_question,train_span,distance
How many total yards did Denver gain?,Super Bowl 50 featured numerous records from individuals and teams.,What venue did Super Bowl 50 take place in?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",1.4063288153426583
How many total yards did Denver gain?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.781427444335834
How many total yards did Denver gain?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,What yard marker on the field was painted gold?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,3.2237609712328905
How many total yards did Denver gain?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,What yard marker on the field was painted gold?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,2.501705521216977
How many total yards did Denver gain?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",What yard marker on the field was painted gold?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,3.2536387098823933
How many total yards did Denver gain?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,What venue did Super Bowl 50 take place in?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",1.2381423540349916
How many total yards did Denver gain?,Kony Ealy tied a Super Bowl record with three sacks.,What venue did Super Bowl 50 take place in?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",1.4063288153426583
How many total yards did Denver gain?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.","Rather than Roman numerals, what did the NFL decide to use?","As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",3.4249979963089605
How many total yards did Denver gain?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",What yard marker on the field was painted gold?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,2.595398697425167
How many total yards did Denver gain?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,What venue did Super Bowl 50 take place in?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",1.262190706676072
How many total yards did Denver gain?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.","Rather than Roman numerals, what did the NFL decide to use?","As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",3.29918830758488
