question,span,answer,syntatic_divergence,span_TFIDF,matching_word_frequency,bigram_overlap,trigram_overlap,span_word_frequency,bigram_TFIDF,trigram_TFIDF,minkowski_distance,manhattan_distance,euclidean_distance,hamming_distance,jaccard_distance,consistant_labels,span_POS_tags,span_length,question_length
Which NFL team represented the AFC at Super Bowl 50?,The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.,Denver Broncos,"(1, ((5, ['their-24', 'title-28', 'earn-23', 'defeated-10', 'broncos-9', 'denver-8']), (4, ['which-0', 'team-2', 'represented-3', 'afc-5', 'the-4'])))",1.2400000000000002,0.14285714285714285,0.05,0.0,1.2400000000000002,4.378802695198572,4.472135954999581,137.0,137,33.18132004607411,161,0.8928571428571429,(ROOT (S (NP (DT The) (NML (NML (NML (NNP American) (NNP Football) (NNP Conference)) (-LRB- -LRB-) (NML (NNP AFC)) (-RRB- -RRB-)) (NN champion)) (NNP Denver) (NNP Broncos)) (VP (VBD defeated) (NP (DT the) (NML (NML (NNP National) (NNP Football) (NNP Conference)) (-LRB- -LRB-) (NNP NFC) (-RRB- -RRB-) (NN champion)) (NNP Carolina) (NNP Panthers) (CD 24) (CD –10)) (S (VP (TO to) (VP (VB earn) (NP (PRP$ their) (JJ third) (NML (NNP Super) (NNP Bowl)) (NN title)))))) (. .))),"[('The', 'DET'), ('American', 'NOUN'), ('Football', 'NOUN'), ('Conference', 'NOUN'), ('(', '.'), ('AFC', 'NOUN'), (')', '.'), ('champion', 'NOUN'), ('Denver', 'NOUN'), ('Broncos', 'NOUN'), ('defeated', 'VERB'), ('the', 'DET'), ('National', 'NOUN'), ('Football', 'NOUN'), ('Conference', 'NOUN'), ('(', '.'), ('NFC', 'NOUN'), (')', '.'), ('champion', 'NOUN'), ('Carolina', 'NOUN'), ('Panthers', 'NOUN'), ('24–10', 'NUM'), ('to', 'PRT'), ('earn', 'VERB'), ('their', 'PRON'), ('third', 'ADJ'), ('Super', 'NOUN'), ('Bowl', 'NOUN'), ('title', 'NOUN'), ('.', '.')]",25,10
Which NFL team represented the NFC at Super Bowl 50?,The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.,Carolina Panthers,"(2, ((5, ['nfc-16', 'conference-14', 'champion-18', '24–10-21', 'panthers-20', 'carolina-19']), (3, ['which-0', 'team-2', 'represented-3', 'nfc-5'])))",1.2400000000000002,0.14285714285714285,0.05,0.0,1.2400000000000002,4.378802695198572,4.472135954999581,137.0,137,33.21144381083123,161,0.8928571428571429,(ROOT (S (NP (DT The) (NML (NML (NML (NNP American) (NNP Football) (NNP Conference)) (-LRB- -LRB-) (NML (NNP AFC)) (-RRB- -RRB-)) (NN champion)) (NNP Denver) (NNP Broncos)) (VP (VBD defeated) (NP (DT the) (NML (NML (NNP National) (NNP Football) (NNP Conference)) (-LRB- -LRB-) (NNP NFC) (-RRB- -RRB-) (NN champion)) (NNP Carolina) (NNP Panthers) (CD 24) (CD –10)) (S (VP (TO to) (VP (VB earn) (NP (PRP$ their) (JJ third) (NML (NNP Super) (NNP Bowl)) (NN title)))))) (. .))),"[('The', 'DET'), ('American', 'NOUN'), ('Football', 'NOUN'), ('Conference', 'NOUN'), ('(', '.'), ('AFC', 'NOUN'), (')', '.'), ('champion', 'NOUN'), ('Denver', 'NOUN'), ('Broncos', 'NOUN'), ('defeated', 'VERB'), ('the', 'DET'), ('National', 'NOUN'), ('Football', 'NOUN'), ('Conference', 'NOUN'), ('(', '.'), ('NFC', 'NOUN'), (')', '.'), ('champion', 'NOUN'), ('Carolina', 'NOUN'), ('Panthers', 'NOUN'), ('24–10', 'NUM'), ('to', 'PRT'), ('earn', 'VERB'), ('their', 'PRON'), ('third', 'ADJ'), ('Super', 'NOUN'), ('Bowl', 'NOUN'), ('title', 'NOUN'), ('.', '.')]",25,10
Where did Super Bowl 50 take place?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.","Santa Clara, California","(-1, ([], []))",1.0952380952380956,0,0.0,0.0,1.0952380952380956,3.4641016151377557,3.3166247903554007,91.0,91,24.228082879171435,101,1.0,"(ROOT (S (NP (DT The) (NN game)) (VP (VBD was) (VP (VBN played) (PP (IN on) (NP (NNP February) (CD 7) (, ,) (CD 2016))) (, ,) (PP (IN at) (NP (NP (NNP Levi's) (NNP Stadium)) (PP (IN in) (NP (NP (DT the) (NML (NML (NNP San) (NNP Francisco)) (NNP Bay)) (NNP Area)) (PP (IN at) (NP (NP (NNP Santa) (NNP Clara)) (, ,) (NP (NNP California)))))))))) (. .)))","[('The', 'DET'), ('game', 'NOUN'), ('was', 'VERB'), ('played', 'VERB'), ('on', 'ADP'), ('February', 'NOUN'), ('7', 'NUM'), (',', '.'), ('2016', 'NUM'), (',', '.'), ('at', 'ADP'), ('Levi', 'NOUN'), (""'s"", 'PRT'), ('Stadium', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('San', 'NOUN'), ('Francisco', 'NOUN'), ('Bay', 'NOUN'), ('Area', 'NOUN'), ('at', 'ADP'), ('Santa', 'NOUN'), ('Clara', 'NOUN'), (',', '.'), ('California', 'NOUN'), ('.', '.')]",21,7
Which NFL team represented the AFC at Super Bowl 50?,The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.,Denver Broncos,"(1, ((5, ['their-24', 'title-28', 'earn-23', 'defeated-10', 'broncos-9', 'denver-8']), (4, ['which-0', 'team-2', 'represented-3', 'afc-5', 'the-4'])))",1.2400000000000002,0.14285714285714285,0.05,0.0,1.2400000000000002,4.378802695198572,4.472135954999581,137.0,137,33.18132004607411,161,0.8928571428571429,(ROOT (S (NP (DT The) (NML (NML (NML (NNP American) (NNP Football) (NNP Conference)) (-LRB- -LRB-) (NML (NNP AFC)) (-RRB- -RRB-)) (NN champion)) (NNP Denver) (NNP Broncos)) (VP (VBD defeated) (NP (DT the) (NML (NML (NNP National) (NNP Football) (NNP Conference)) (-LRB- -LRB-) (NNP NFC) (-RRB- -RRB-) (NN champion)) (NNP Carolina) (NNP Panthers) (CD 24) (CD –10)) (S (VP (TO to) (VP (VB earn) (NP (PRP$ their) (JJ third) (NML (NNP Super) (NNP Bowl)) (NN title)))))) (. .))),"[('The', 'DET'), ('American', 'NOUN'), ('Football', 'NOUN'), ('Conference', 'NOUN'), ('(', '.'), ('AFC', 'NOUN'), (')', '.'), ('champion', 'NOUN'), ('Denver', 'NOUN'), ('Broncos', 'NOUN'), ('defeated', 'VERB'), ('the', 'DET'), ('National', 'NOUN'), ('Football', 'NOUN'), ('Conference', 'NOUN'), ('(', '.'), ('NFC', 'NOUN'), (')', '.'), ('champion', 'NOUN'), ('Carolina', 'NOUN'), ('Panthers', 'NOUN'), ('24–10', 'NUM'), ('to', 'PRT'), ('earn', 'VERB'), ('their', 'PRON'), ('third', 'ADJ'), ('Super', 'NOUN'), ('Bowl', 'NOUN'), ('title', 'NOUN'), ('.', '.')]",25,10
What color was used to emphasize the 50th anniversary of the Super Bowl?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",gold,"(0, ((4, ['anniversary-14', 'with-16', 'initiatives-21', 'themed-20', 'gold-18']), (4, ['what-0', 'color-1', 'used-3', 'emphasize-5', 'anniversary-8'])))",2.0357142857142856,0.25,0.0967741935483871,0.0,2.0357142857142856,5.096368606466077,5.477225575051665,279.0,279,69.76388750635962,295,0.8979591836734694,"(ROOT (S (SBAR (IN As) (S (NP (DT this)) (VP (VBD was) (NP (DT the) (JJ 50th) (NNP Super) (NNP Bowl))))) (, ,) (NP (DT the) (NN league)) (VP (VBD emphasized) (NP (NP (NP (DT the) (`` "") (JJ golden) (NN anniversary)) ('' "") (PP (IN with) (NP (JJ various) (ADJP (NN gold) (HYPH -) (JJ themed)) (NNS initiatives)))) (, ,) (CONJP (RB as) (RB well) (IN as)) (S (ADVP (RB temporarily)) (VP (VBG suspending) (NP (NP (DT the) (NN tradition)) (PP (IN of) (S (VP (VBG naming) (NP (DT each) (NML (NNP Super) (NNP Bowl)) (NN game)) (PP (IN with) (NP (NP (JJ Roman) (NNS numerals)) (-LRB- -LRB-) (SBAR (WHPP (IN under) (WHNP (WDT which))) (S (NP (DT the) (NN game)) (VP (MD would) (VP (VB have) (VP (VBN been) (VP (VBN known) (PP (IN as) (NP (`` "") (NML (NNP Super) (NNP Bowl)) (NNP L))))))))) ('' ""))))))))) (-RRB- -RRB-)) (, ,) (SBAR (IN so) (IN that) (S (NP (DT the) (NN logo)) (VP (MD could) (ADVP (RB prominently)) (VP (VB feature) (NP (DT the) (JJ Arabic) (NNS numerals)) (NP (CD 50))))))) (. .)))","[('As', 'ADP'), ('this', 'DET'), ('was', 'VERB'), ('the', 'DET'), ('50th', 'ADJ'), ('Super', 'NOUN'), ('Bowl', 'NOUN'), (',', '.'), ('the', 'DET'), ('league', 'NOUN'), ('emphasized', 'VERB'), ('the', 'DET'), ('``', '.'), ('golden', 'ADJ'), ('anniversary', 'NOUN'), (""''"", '.'), ('with', 'ADP'), ('various', 'ADJ'), ('gold-themed', 'ADJ'), ('initiatives', 'NOUN'), (',', '.'), ('as', 'ADV'), ('well', 'ADV'), ('as', 'ADP'), ('temporarily', 'ADV'), ('suspending', 'VERB'), ('the', 'DET'), ('tradition', 'NOUN'), ('of', 'ADP'), ('naming', 'VERB'), ('each', 'DET'), ('Super', 'NOUN'), ('Bowl', 'NOUN'), ('game', 'NOUN'), ('with', 'ADP'), ('Roman', 'NOUN'), ('numerals', 'NOUN'), ('(', '.'), ('under', 'ADP'), ('which', 'DET'), ('the', 'DET'), ('game', 'NOUN'), ('would', 'VERB'), ('have', 'VERB'), ('been', 'VERB'), ('known', 'VERB'), ('as', 'ADP'), ('``', '.'), ('Super', 'NOUN'), ('Bowl', 'NOUN'), ('L', 'NOUN'), (""''"", '.'), (')', '.'), (',', '.'), ('so', 'ADV'), ('that', 'ADP'), ('the', 'DET'), ('logo', 'NOUN'), ('could', 'VERB'), ('prominently', 'ADV'), ('feature', 'VERB'), ('the', 'DET'), ('Arabic', 'NOUN'), ('numerals', 'NOUN'), ('50', 'NUM'), ('.', '.')]",56,13
What was the theme of Super Bowl 50?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","""golden anniversary""","(0, ((5, ['50-66', 'numerals-65', 'feature-62', 'emphasized-10', 'anniversary-14', 'golden-13']), (5, ['what-0', 'was-1', 'theme-3', 'of-4', 'bowl-6', '50-7'])))",2.0357142857142856,0.21875,0.0967741935483871,0.0,2.0357142857142856,5.096368606466077,5.477225575051665,315.0,315,78.7210264160726,297,0.8888888888888888,"(ROOT (S (SBAR (IN As) (S (NP (DT this)) (VP (VBD was) (NP (DT the) (JJ 50th) (NNP Super) (NNP Bowl))))) (, ,) (NP (DT the) (NN league)) (VP (VBD emphasized) (NP (NP (NP (DT the) (`` "") (JJ golden) (NN anniversary)) ('' "") (PP (IN with) (NP (JJ various) (ADJP (NN gold) (HYPH -) (JJ themed)) (NNS initiatives)))) (, ,) (CONJP (RB as) (RB well) (IN as)) (S (ADVP (RB temporarily)) (VP (VBG suspending) (NP (NP (DT the) (NN tradition)) (PP (IN of) (S (VP (VBG naming) (NP (DT each) (NML (NNP Super) (NNP Bowl)) (NN game)) (PP (IN with) (NP (NP (JJ Roman) (NNS numerals)) (-LRB- -LRB-) (SBAR (WHPP (IN under) (WHNP (WDT which))) (S (NP (DT the) (NN game)) (VP (MD would) (VP (VB have) (VP (VBN been) (VP (VBN known) (PP (IN as) (NP (`` "") (NML (NNP Super) (NNP Bowl)) (NNP L))))))))) ('' ""))))))))) (-RRB- -RRB-)) (, ,) (SBAR (IN so) (IN that) (S (NP (DT the) (NN logo)) (VP (MD could) (ADVP (RB prominently)) (VP (VB feature) (NP (DT the) (JJ Arabic) (NNS numerals)) (NP (CD 50))))))) (. .)))","[('As', 'ADP'), ('this', 'DET'), ('was', 'VERB'), ('the', 'DET'), ('50th', 'ADJ'), ('Super', 'NOUN'), ('Bowl', 'NOUN'), (',', '.'), ('the', 'DET'), ('league', 'NOUN'), ('emphasized', 'VERB'), ('the', 'DET'), ('``', '.'), ('golden', 'ADJ'), ('anniversary', 'NOUN'), (""''"", '.'), ('with', 'ADP'), ('various', 'ADJ'), ('gold-themed', 'ADJ'), ('initiatives', 'NOUN'), (',', '.'), ('as', 'ADV'), ('well', 'ADV'), ('as', 'ADP'), ('temporarily', 'ADV'), ('suspending', 'VERB'), ('the', 'DET'), ('tradition', 'NOUN'), ('of', 'ADP'), ('naming', 'VERB'), ('each', 'DET'), ('Super', 'NOUN'), ('Bowl', 'NOUN'), ('game', 'NOUN'), ('with', 'ADP'), ('Roman', 'NOUN'), ('numerals', 'NOUN'), ('(', '.'), ('under', 'ADP'), ('which', 'DET'), ('the', 'DET'), ('game', 'NOUN'), ('would', 'VERB'), ('have', 'VERB'), ('been', 'VERB'), ('known', 'VERB'), ('as', 'ADP'), ('``', '.'), ('Super', 'NOUN'), ('Bowl', 'NOUN'), ('L', 'NOUN'), (""''"", '.'), (')', '.'), (',', '.'), ('so', 'ADV'), ('that', 'ADP'), ('the', 'DET'), ('logo', 'NOUN'), ('could', 'VERB'), ('prominently', 'ADV'), ('feature', 'VERB'), ('the', 'DET'), ('Arabic', 'NOUN'), ('numerals', 'NOUN'), ('50', 'NUM'), ('.', '.')]",56,8
What day was the game played on?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.","February 7, 2016","(1, ((3, ['was-2', 'played-3', 'on-4', 'february-5']), (2, ['what-0', 'day-1', 'was-2'])))",1.0952380952380956,0.14285714285714285,0.07692307692307693,0.0,1.0952380952380956,3.4641016151377557,3.3166247903554007,88.0,88,22.93468988235943,96,0.8181818181818181,"(ROOT (S (NP (DT The) (NN game)) (VP (VBD was) (VP (VBN played) (PP (IN on) (NP (NNP February) (CD 7) (, ,) (CD 2016))) (, ,) (PP (IN at) (NP (NP (NNP Levi's) (NNP Stadium)) (PP (IN in) (NP (NP (DT the) (NML (NML (NNP San) (NNP Francisco)) (NNP Bay)) (NNP Area)) (PP (IN at) (NP (NP (NNP Santa) (NNP Clara)) (, ,) (NP (NNP California)))))))))) (. .)))","[('The', 'DET'), ('game', 'NOUN'), ('was', 'VERB'), ('played', 'VERB'), ('on', 'ADP'), ('February', 'NOUN'), ('7', 'NUM'), (',', '.'), ('2016', 'NUM'), (',', '.'), ('at', 'ADP'), ('Levi', 'NOUN'), (""'s"", 'PRT'), ('Stadium', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('San', 'NOUN'), ('Francisco', 'NOUN'), ('Bay', 'NOUN'), ('Area', 'NOUN'), ('at', 'ADP'), ('Santa', 'NOUN'), ('Clara', 'NOUN'), (',', '.'), ('California', 'NOUN'), ('.', '.')]",21,7
What is the AFC short for?,The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.,American Football Conference,"(1, ((2, ['afc-5', 'conference-3', 'american-1']), (3, ['what-0', 'is-1', 'short-4', 'afc-3'])))",1.2400000000000002,0.047619047619047616,0.0,0.0,1.2400000000000002,4.378802695198572,4.472135954999581,159.0,159,39.0,156,0.9615384615384616,(ROOT (S (NP (DT The) (NML (NML (NML (NNP American) (NNP Football) (NNP Conference)) (-LRB- -LRB-) (NML (NNP AFC)) (-RRB- -RRB-)) (NN champion)) (NNP Denver) (NNP Broncos)) (VP (VBD defeated) (NP (DT the) (NML (NML (NNP National) (NNP Football) (NNP Conference)) (-LRB- -LRB-) (NNP NFC) (-RRB- -RRB-) (NN champion)) (NNP Carolina) (NNP Panthers) (CD 24) (CD –10)) (S (VP (TO to) (VP (VB earn) (NP (PRP$ their) (JJ third) (NML (NNP Super) (NNP Bowl)) (NN title)))))) (. .))),"[('The', 'DET'), ('American', 'NOUN'), ('Football', 'NOUN'), ('Conference', 'NOUN'), ('(', '.'), ('AFC', 'NOUN'), (')', '.'), ('champion', 'NOUN'), ('Denver', 'NOUN'), ('Broncos', 'NOUN'), ('defeated', 'VERB'), ('the', 'DET'), ('National', 'NOUN'), ('Football', 'NOUN'), ('Conference', 'NOUN'), ('(', '.'), ('NFC', 'NOUN'), (')', '.'), ('champion', 'NOUN'), ('Carolina', 'NOUN'), ('Panthers', 'NOUN'), ('24–10', 'NUM'), ('to', 'PRT'), ('earn', 'VERB'), ('their', 'PRON'), ('third', 'ADJ'), ('Super', 'NOUN'), ('Bowl', 'NOUN'), ('title', 'NOUN'), ('.', '.')]",25,6
What was the theme of Super Bowl 50?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","""golden anniversary""","(0, ((5, ['50-66', 'numerals-65', 'feature-62', 'emphasized-10', 'anniversary-14', 'golden-13']), (5, ['what-0', 'was-1', 'theme-3', 'of-4', 'bowl-6', '50-7'])))",2.0357142857142856,0.21875,0.0967741935483871,0.0,2.0357142857142856,5.096368606466077,5.477225575051665,315.0,315,78.7210264160726,297,0.8888888888888888,"(ROOT (S (SBAR (IN As) (S (NP (DT this)) (VP (VBD was) (NP (DT the) (JJ 50th) (NNP Super) (NNP Bowl))))) (, ,) (NP (DT the) (NN league)) (VP (VBD emphasized) (NP (NP (NP (DT the) (`` "") (JJ golden) (NN anniversary)) ('' "") (PP (IN with) (NP (JJ various) (ADJP (NN gold) (HYPH -) (JJ themed)) (NNS initiatives)))) (, ,) (CONJP (RB as) (RB well) (IN as)) (S (ADVP (RB temporarily)) (VP (VBG suspending) (NP (NP (DT the) (NN tradition)) (PP (IN of) (S (VP (VBG naming) (NP (DT each) (NML (NNP Super) (NNP Bowl)) (NN game)) (PP (IN with) (NP (NP (JJ Roman) (NNS numerals)) (-LRB- -LRB-) (SBAR (WHPP (IN under) (WHNP (WDT which))) (S (NP (DT the) (NN game)) (VP (MD would) (VP (VB have) (VP (VBN been) (VP (VBN known) (PP (IN as) (NP (`` "") (NML (NNP Super) (NNP Bowl)) (NNP L))))))))) ('' ""))))))))) (-RRB- -RRB-)) (, ,) (SBAR (IN so) (IN that) (S (NP (DT the) (NN logo)) (VP (MD could) (ADVP (RB prominently)) (VP (VB feature) (NP (DT the) (JJ Arabic) (NNS numerals)) (NP (CD 50))))))) (. .)))","[('As', 'ADP'), ('this', 'DET'), ('was', 'VERB'), ('the', 'DET'), ('50th', 'ADJ'), ('Super', 'NOUN'), ('Bowl', 'NOUN'), (',', '.'), ('the', 'DET'), ('league', 'NOUN'), ('emphasized', 'VERB'), ('the', 'DET'), ('``', '.'), ('golden', 'ADJ'), ('anniversary', 'NOUN'), (""''"", '.'), ('with', 'ADP'), ('various', 'ADJ'), ('gold-themed', 'ADJ'), ('initiatives', 'NOUN'), (',', '.'), ('as', 'ADV'), ('well', 'ADV'), ('as', 'ADP'), ('temporarily', 'ADV'), ('suspending', 'VERB'), ('the', 'DET'), ('tradition', 'NOUN'), ('of', 'ADP'), ('naming', 'VERB'), ('each', 'DET'), ('Super', 'NOUN'), ('Bowl', 'NOUN'), ('game', 'NOUN'), ('with', 'ADP'), ('Roman', 'NOUN'), ('numerals', 'NOUN'), ('(', '.'), ('under', 'ADP'), ('which', 'DET'), ('the', 'DET'), ('game', 'NOUN'), ('would', 'VERB'), ('have', 'VERB'), ('been', 'VERB'), ('known', 'VERB'), ('as', 'ADP'), ('``', '.'), ('Super', 'NOUN'), ('Bowl', 'NOUN'), ('L', 'NOUN'), (""''"", '.'), (')', '.'), (',', '.'), ('so', 'ADV'), ('that', 'ADP'), ('the', 'DET'), ('logo', 'NOUN'), ('could', 'VERB'), ('prominently', 'ADV'), ('feature', 'VERB'), ('the', 'DET'), ('Arabic', 'NOUN'), ('numerals', 'NOUN'), ('50', 'NUM'), ('.', '.')]",56,8
What is the AFC short for?,The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.,American Football Conference,"(1, ((2, ['afc-5', 'conference-3', 'american-1']), (3, ['what-0', 'is-1', 'short-4', 'afc-3'])))",1.2400000000000002,0.047619047619047616,0.0,0.0,1.2400000000000002,4.378802695198572,4.472135954999581,159.0,159,39.0,156,0.9615384615384616,(ROOT (S (NP (DT The) (NML (NML (NML (NNP American) (NNP Football) (NNP Conference)) (-LRB- -LRB-) (NML (NNP AFC)) (-RRB- -RRB-)) (NN champion)) (NNP Denver) (NNP Broncos)) (VP (VBD defeated) (NP (DT the) (NML (NML (NNP National) (NNP Football) (NNP Conference)) (-LRB- -LRB-) (NNP NFC) (-RRB- -RRB-) (NN champion)) (NNP Carolina) (NNP Panthers) (CD 24) (CD –10)) (S (VP (TO to) (VP (VB earn) (NP (PRP$ their) (JJ third) (NML (NNP Super) (NNP Bowl)) (NN title)))))) (. .))),"[('The', 'DET'), ('American', 'NOUN'), ('Football', 'NOUN'), ('Conference', 'NOUN'), ('(', '.'), ('AFC', 'NOUN'), (')', '.'), ('champion', 'NOUN'), ('Denver', 'NOUN'), ('Broncos', 'NOUN'), ('defeated', 'VERB'), ('the', 'DET'), ('National', 'NOUN'), ('Football', 'NOUN'), ('Conference', 'NOUN'), ('(', '.'), ('NFC', 'NOUN'), (')', '.'), ('champion', 'NOUN'), ('Carolina', 'NOUN'), ('Panthers', 'NOUN'), ('24–10', 'NUM'), ('to', 'PRT'), ('earn', 'VERB'), ('their', 'PRON'), ('third', 'ADJ'), ('Super', 'NOUN'), ('Bowl', 'NOUN'), ('title', 'NOUN'), ('.', '.')]",25,6
