test_question,test_span,distance
How many first downs did Denver have for Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",2.5836540115635382
How many first downs did Denver have for Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,5.767105587808751
How many first downs did Denver have for Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",5.081240716934861
How many first downs did Denver have for Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,3.272481677025824
How many first downs did Denver have for Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",6.315457776800892
How many first downs did Denver have for Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",6.381777008586616
How many first downs did Denver have for Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",4.956380256937472
How many first downs did Denver have for Super Bowl 50?,Super Bowl 50 featured numerous records from individuals and teams.,4.5635228702711945
How many first downs did Denver have for Super Bowl 50?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,3.9566661232722007
How many first downs did Denver have for Super Bowl 50?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,3.958462762421656
How many first downs did Denver have for Super Bowl 50?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,4.305251706106283
How many first downs did Denver have for Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,7.305002157435961
How many first downs did Denver have?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",2.595398697425167
How many first downs did Denver have?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,5.781427444335836
How many first downs did Denver have?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",1.404355139785821
How many first downs did Denver have?,Kony Ealy tied a Super Bowl record with three sacks.,1.4063288153426583
How many first downs did Denver have?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",1.3632341012146223
How many first downs did Denver have?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",3.1915439856459336
How many first downs did Denver have?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",1.2476851446416766
How many first downs did Denver have?,Super Bowl 50 featured numerous records from individuals and teams.,1.4063288153426583
How many first downs did Denver have?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,1.2381423540349916
How many first downs did Denver have?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,1.2954923612003058
How many first downs did Denver have?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,1.262190706676072
How many first downs did Denver have?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,4.886921171129224
How many first downs did the Broncos have in Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",1.3258850059503298
How many first downs did the Broncos have in Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,5.767412799588946
How many first downs did the Broncos have in Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",7.836855078977146
How many first downs did the Broncos have in Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,3.270551162617013
How many first downs did the Broncos have in Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",4.919638887313512
How many first downs did the Broncos have in Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",7.6352929813912995
How many first downs did the Broncos have in Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",6.229712716791739
How many first downs did the Broncos have in Super Bowl 50?,Super Bowl 50 featured numerous records from individuals and teams.,4.556786411959523
How many first downs did the Broncos have in Super Bowl 50?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,6.810361548892717
How many first downs did the Broncos have in Super Bowl 50?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,6.045777813437912
How many first downs did the Broncos have in Super Bowl 50?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,5.401152561817835
How many first downs did the Broncos have in Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,8.31349988872247
How many first downs did the Panthers have in Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",1.3258850059503298
How many first downs did the Panthers have in Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,5.767412799588946
How many first downs did the Panthers have in Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",7.836855078977146
How many first downs did the Panthers have in Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,3.270551162617013
