test_question,test_span,distance
How many first downs did Denver have for Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",0.4459144517688482
How many first downs did Denver have for Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",0.5181352406978528
How many first downs did Denver have for Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",0.529366538444129
How many first downs did Denver have for Super Bowl 50?,Super Bowl 50 featured numerous records from individuals and teams.,0.545495451703358
How many first downs did Denver have for Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",0.5557384838249109
How many first downs did Denver have for Super Bowl 50?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,0.5644221422909925
How many first downs did Denver have for Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,0.5840874097137339
How many first downs did Denver have for Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,0.5847721845161249
How many first downs did Denver have for Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,0.5848915467396154
How many first downs did Denver have for Super Bowl 50?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,0.5988068964472
How many first downs did Denver have for Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",0.6043841258849133
How many first downs did Denver have for Super Bowl 50?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,0.6064716619539257
How many first downs did Denver have?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",0.3560573787916592
How many first downs did Denver have?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,0.3888700054965563
How many first downs did Denver have?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",0.3914402555244753
How many first downs did Denver have?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,0.3966603454238709
How many first downs did Denver have?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,0.4070293709505874
How many first downs did Denver have?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",0.4244095217616004
How many first downs did Denver have?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",0.4366404076433242
How many first downs did Denver have?,Kony Ealy tied a Super Bowl record with three sacks.,0.4395084710421679
How many first downs did Denver have?,Super Bowl 50 featured numerous records from individuals and teams.,0.4395084710421679
How many first downs did Denver have?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",0.548929034231362
How many first downs did Denver have?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,0.5687743419753426
How many first downs did Denver have?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,0.5738917557756711
How many first downs did the Broncos have in Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",0.4152309805882683
How many first downs did the Broncos have in Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",0.4704974942963524
