,word,vec
0,Super,0.0
1,Bowl,0.0
2,50,0.0
3,American,0.0
4,football,0.0
5,game,0.0
6,determine,0.0
7,champion,0.0
8,National,0.0
9,Football,0.0
10,League,0.0
11,NFL,0.0
12,2015,0.0
13,season,0.0
14,Conference,0.0
15,AFC,0.0
16,Denver,0.0
17,Broncos,0.0
18,defeated,0.0
19,NFC,0.0
20,Carolina,0.0
21,Panthers,0.0
22,24–10,0.0
23,earn,0.0
24,third,0.0
25,title,0.0
26,played,0.0
27,February,0.0
28,7,0.0
29,2016,0.0
30,Levi,0.0
31,Stadium,0.0
32,San,0.0
33,Francisco,0.0
34,Bay,0.0
35,Area,0.0
36,Santa,0.0
37,Clara,0.0
38,California,0.0
39,50th,0.0
40,league,0.0
41,emphasized,0.0
42,golden,0.0
43,anniversary,0.0
44,various,0.0
45,gold-themed,0.0
46,initiative,0.0
47,well,0.0
48,temporarily,0.0
49,suspending,0.0
50,tradition,0.0
51,naming,0.0
52,Roman,0.0
53,numeral,0.0
54,would,0.0
55,known,0.0
56,L,0.0
57,logo,0.0
58,prominently,0.0
59,feature,0.0
60,Arabic,0.0
61,finished,0.0
62,regular,0.0
63,15–1,0.0
64,record,0.0
65,quarterback,0.0
66,Cam,0.0
67,Newton,0.0
68,named,0.0
69,Most,0.0
70,Valuable,0.0
71,Player,0.0
72,MVP,0.0
73,Arizona,0.0
74,Cardinals,0.0
75,49–15,0.0
76,Championship,0.0
77,Game,0.0
78,advanced,0.0
79,second,0.0
80,appearance,0.0
81,since,0.0
82,franchise,0.0
83,founded,0.0
84,1995,0.0
85,12–4,0.0
86,denied,0.0
87,New,0.0
88,England,0.0
89,Patriots,0.0
90,chance,0.0
91,defend,0.0
92,XLIX,0.0
93,defeating,0.0
94,20–18,0.0
95,joined,0.0
96,Dallas,0.0
97,Cowboys,0.0
98,Pittsburgh,0.0
99,Steelers,0.0
100,one,0.0
101,four,0.0
102,team,0.0
103,made,0.0
104,eight,0.0
105,took,0.0
106,early,0.0
107,lead,0.0
108,never,0.0
109,trailed,0.0
110,limited,0.0
111,defense,0.0
112,sacked,0.0
113,seven,0.0
114,time,0.0
115,forced,0.0
116,three,0.0
117,turnover,0.0
118,including,0.0
119,fumble,0.0
120,recovered,0.0
121,touchdown,0.0
122,linebacker,0.0
123,Von,0.0
124,Miller,0.0
125,recording,0.0
126,five,0.0
127,solo,0.0
128,tackle,0.0
129,2½,0.0
130,sack,0.0
131,two,0.0
132,CBS,0.0
133,broadcast,0.0
134,U.S.,0.0
135,charged,0.0
136,average,0.0
137,$,0.0
138,5,0.0
139,million,0.0
140,30-second,0.0
141,commercial,0.0
142,halftime,0.0
143,show,0.0
144,headlined,0.0
145,British,0.0
146,rock,0.0
147,group,0.0
148,Coldplay,0.0
149,special,0.0
150,guest,0.0
151,performer,0.0
152,Beyoncé,0.0
153,Bruno,0.0
154,Mars,0.0
155,XLVII,0.0
156,XLVIII,0.0
157,respectively,0.0
158,third-most,0.0
159,watched,0.0
160,ever,0.0
161,2012,0.0
162,Commissioner,0.0
163,Roger,0.0
164,Goodell,0.0
165,stated,0.0
166,planned,0.0
167,make,0.0
168,spectacular,0.0
169,important,0.0
170,u,0.0
171,eventually,0.0
172,narrowed,0.0
173,bid,0.0
174,site,0.0
175,Orleans,0.0
176,Mercedes-Benz,0.0
177,Superdome,0.0
178,Miami,0.0
179,Sun,0.0
180,Life,0.0
181,announced,0.0
182,October,0.0
183,16,0.0
184,finalist,0.0
185,South,0.0
186,Florida/Miami,0.0
187,area,0.0
188,previously,0.0
189,hosted,0.0
190,event,0.0
191,10,0.0
192,tied,0.0
193,recent,0.0
194,XLIV,0.0
195,2010,0.0
196,last,0.0
197,1985,0.0
198,XIX,0.0
199,held,0.0
200,Stanford,0.0
201,home,0.0
202,49ers,0.0
203,depended,0.0
204,whether,0.0
205,stadium,0.0
206,underwent,0.0
207,renovation,0.0
208,However,0.0
209,May,0.0
210,3,0.0
211,2013,0.0
212,Florida,0.0
213,legislature,0.0
214,refused,0.0
215,approve,0.0
216,funding,0.0
217,plan,0.0
218,pay,0.0
219,dealing,0.0
220,significant,0.0
221,blow,0.0
222,On,0.0
223,21,0.0
224,owner,0.0
225,spring,0.0
226,meeting,0.0
227,Boston,0.0
228,voted,0.0
229,awarded,0.0
230,1.2,0.0
231,billion,0.0
232,opened,0.0
233,2014,0.0
234,first,0.0
235,XXXVII,0.0
236,place,0.0
237,Diego,0.0
238,2003,0.0
239,straight,0.0
240,number,0.0
241,seed,0.0
242,conference,0.0
243,met,0.0
244,became,0.0
245,ten,0.0
246,completed,0.0
247,loss,0.0
248,six,0.0
249,acquired,0.0
250,year,0.0
251,reached,0.0
252,history,0.0
253,XXXVIII,0.0
254,Coincidentally,0.0
255,coached,0.0
256,John,0.0
257,Fox,0.0
258,prior,0.0
259,Despite,0.0
260,waiving,0.0
261,longtime,0.0
262,running,0.0
263,back,0.0
264,DeAngelo,0.0
265,Williams,0.0
266,losing,0.0
267,top,0.0
268,wide,0.0
269,receiver,0.0
270,Kelvin,0.0
271,Benjamin,0.0
272,torn,0.0
273,ACL,0.0
274,preseason,0.0
275,best,0.0
276,becoming,0.0
277,seventh,0.0
278,win,0.0
279,least,0.0
280,15,0.0
281,expanded,0.0
282,16-game,0.0
283,schedule,0.0
284,1978,0.0
285,started,0.0
286,14–0,0.0
287,setting,0.0
288,start,0.0
289,longest,0.0
290,single-season,0.0
291,winning,0.0
292,streak,0.0
293,posting,0.0
294,breaking,0.0
295,13–0,0.0
296,shared,0.0
297,2009,0.0
298,Saints,0.0
299,2011,0.0
300,Green,0.0
301,Packers,0.0
302,With,0.0
303,NFC-best,0.0
304,clinched,0.0
305,home-field,0.0
306,advantage,0.0
307,throughout,0.0
308,playoff,0.0
309,Ten,0.0
310,player,0.0
311,selected,0.0
312,Pro,0.0
313,along,0.0
314,All-Pro,0.0
315,selection,0.0
316,offense,0.0
317,led,0.0
318,scoring,0.0
319,500,0.0
320,point,0.0
321,loaded,0.0
322,talent,0.0
323,boasting,0.0
324,throwing,0.0
325,"3,837",0.0
326,yard,0.0
327,rushing,0.0
328,636,0.0
329,career-high,0.0
330,league-leading,0.0
331,45,0.0
332,total,0.0
333,35,0.0
334,passing,0.0
335,career-low,0.0
336,interception,0.0
337,career-best,0.0
338,rating,0.0
339,99.4,0.0
340,leading,0.0
341,tight,0.0
342,end,0.0
343,Greg,0.0
344,Olsen,0.0
345,caught,0.0
346,77,0.0
347,pass,0.0
348,"1,104",0.0
349,Ted,0.0
350,Ginn,0.0
351,Jr.,0.0
352,44,0.0
353,739,0.0
354,rushed,0.0
355,60,0.0
356,returned,0.0
357,27,0.0
358,punt,0.0
359,277,0.0
360,key,0.0
361,included,0.0
362,veteran,0.0
363,Jerricho,0.0
364,Cotchery,0.0
365,39,0.0
366,reception,0.0
367,485,0.0
368,rookie,0.0
369,Devin,0.1031610004320319
370,Funchess,0.0
371,31,0.0
372,473,0.0
373,second-year,0.0
374,Corey,0.0
